id,name,ingredients,calories,allergens
1218,Food Bread,"salt, oil",746,none
1219,Food Bread,"salt, oil",309,none
1220,Food Bread,"salt, oil",761,none
1221,Food Bread,"salt, oil",334,none
1222,Food Bread,"salt, oil",260,none
1223,Food Bread,"salt, oil",211,none
1224,Food Bread,"salt, oil",385,none
1225,Food Bread,"salt, oil",731,none
1226,Food Bread,"salt, oil",208,none
1227,Food Bread,"salt, oil",308,none
1228,Food Bread,"salt, oil",226,none
1229,Food Bread,"salt, oil",799,none
1230,Food Bread,"salt, oil",264,none
1231,Food Bread,"salt, oil",658,none
1232,Food Bread,"salt, oil",789,none
1233,Food Bread,"salt, oil",648,none
1234,Food Bread,"salt, oil",454,none
1235,Food Bread,"salt, oil",264,none
1236,Food Bread,"salt, oil",518,none
1237,Food Bread,"salt, oil",794,none
1238,Food Bread,"salt, oil",333,none
1239,Food Bread,"salt, oil",266,none
1240,Food Bread,"salt, oil",518,none
1241,Food Bread,"salt, oil",379,none
1242,Food Bread,"salt, oil",732,none
1243,Food Bread,"salt, oil",362,none
1244,Food Bread,"salt, oil",522,none
1245,Food Bread,"salt, oil",348,none
1246,Food Bread,"salt, oil",357,none
1247,Food Bread,"salt, oil",288,none
1248,Food Bread,"salt, oil",469,none
1249,Food Bread,"salt, oil",559,none
1250,Food Bread,"salt, oil",726,none
1251,Food Bread,"salt, oil",799,none
1252,Food Bread,"salt, oil",546,none
1253,Food Bread,"salt, oil",725,none
1254,Food Bread,"salt, oil",664,none
1255,Food Bread,"salt, oil",744,none
1256,Food Bread,"salt, oil",479,none
1257,Food Bread,"salt, oil",451,none
1258,Food Bread,"salt, oil",371,none
1259,Food Bread,"salt, oil",482,none
1260,Food Bread,"salt, oil",474,none
1261,Food Bread,"salt, oil",346,none
1262,Food Bread,"salt, oil",325,none
1263,Food Bread,"salt, oil",536,none
1264,Food Bread,"salt, oil",324,none
1265,Food Bread,"salt, oil",293,none
1266,Food Bread,"salt, oil",527,none
1267,Food Bread,"salt, oil",292,none
1268,Food Bread,"salt, oil",417,none
1269,Food Bread,"salt, oil",751,none
1270,Food Bread,"salt, oil",653,none
1271,Food Bread,"salt, oil",722,none
1272,Food Bread,"salt, oil",760,none
1273,Food Bread,"salt, oil",677,none
1274,Food Bread,"salt, oil",464,none
1275,Food Bread,"salt, oil",249,none
1276,Food Bread,"salt, oil",400,none
1277,Food Bread,"salt, oil",638,none
1278,Food Bread,"salt, oil",611,none
1279,Food Bread,"salt, oil",277,none
1280,Food Bread,"salt, oil",484,none
1281,Food Bread,"salt, oil",621,none
1282,Food Bread,"salt, oil",609,none
1283,Food Bread,"salt, oil",428,none
1284,Food Bread,"salt, oil",371,none
1285,Food Bread,"salt, oil",455,none
1286,Food Bread,"salt, oil",756,none
1287,Food Bread,"salt, oil",545,none
1288,Food Bread,"salt, oil",704,none
1289,Food Bread,"salt, oil",489,none
1290,Food Bread,"salt, oil",318,none
1291,Food Bread,"salt, oil",558,none
1292,Food Bread,"salt, oil",739,none
1293,Food Bread,"salt, oil",330,none
1294,Food Bread,"salt, oil",532,none
1295,Food Bread,"salt, oil",438,none
1296,Food Bread,"salt, oil",564,none
1297,Food Bread,"salt, oil",607,none
1298,Food Bread,"salt, oil",382,none
1299,Food Bread,"salt, oil",744,none
1300,Food Bread,"salt, oil",211,none
1301,Food Dairy product,"salt, oil",324,none
1302,Food Dairy product,"salt, oil",731,none
1303,Food Dairy product,"salt, oil",763,none
1304,Food Dairy product,"salt, oil",276,none
1305,Food Dairy product,"salt, oil",210,none
1306,Food Dairy product,"salt, oil",674,none
1307,Food Dairy product,"salt, oil",674,none
1308,Food Dairy product,"salt, oil",749,none
1309,Food Dairy product,"salt, oil",324,none
1310,Food Dairy product,"salt, oil",652,none
1311,Food Dairy product,"salt, oil",483,none
1312,Food Dairy product,"salt, oil",564,none
1313,Food Dairy product,"salt, oil",786,none
1314,Food Dairy product,"salt, oil",640,none
1315,Food Dairy product,"salt, oil",443,none
1316,Food Dairy product,"salt, oil",591,none
1317,Food Dairy product,"salt, oil",436,none
1318,Food Dairy product,"salt, oil",304,none
1319,Food Dairy product,"salt, oil",694,none
1320,Food Dairy product,"salt, oil",265,none
1321,Food Dairy product,"salt, oil",531,none
1322,Food Dairy product,"salt, oil",745,none
1323,Food Dairy product,"salt, oil",273,none
1324,Food Dairy product,"salt, oil",659,none
1325,Food Dairy product,"salt, oil",739,none
1326,Food Dairy product,"salt, oil",397,none
1327,Food Dairy product,"salt, oil",329,none
1328,Food Dairy product,"salt, oil",422,none
1329,Food Dairy product,"salt, oil",387,none
1330,Food Dairy product,"salt, oil",766,none
1331,Food Dairy product,"salt, oil",785,none
1332,Food Dairy product,"salt, oil",483,none
1333,Food Dairy product,"salt, oil",371,none
1334,Food Dairy product,"salt, oil",563,none
1335,Food Dairy product,"salt, oil",331,none
1336,Food Dairy product,"salt, oil",217,none
1337,Food Dairy product,"salt, oil",454,none
1338,Food Dairy product,"salt, oil",349,none
1339,Food Dairy product,"salt, oil",233,none
1340,Food Dairy product,"salt, oil",728,none
1341,Food Dairy product,"salt, oil",739,none
1342,Food Dairy product,"salt, oil",607,none
1343,Food Dairy product,"salt, oil",732,none
1344,Food Dairy product,"salt, oil",626,none
1345,Food Dairy product,"salt, oil",287,none
1346,Food Dairy product,"salt, oil",260,none
1347,Food Dairy product,"salt, oil",686,none
1348,Food Dairy product,"salt, oil",456,none
1349,Food Dairy product,"salt, oil",307,none
1350,Food Dairy product,"salt, oil",243,none
1351,Food Dairy product,"salt, oil",214,none
1352,Food Dairy product,"salt, oil",391,none
1353,Food Dairy product,"salt, oil",248,none
1354,Food Dairy product,"salt, oil",768,none
1355,Food Dairy product,"salt, oil",791,none
1356,Food Dairy product,"salt, oil",222,none
1357,Food Dairy product,"salt, oil",485,none
1358,Food Dairy product,"salt, oil",241,none
1359,Food Dairy product,"salt, oil",288,none
1360,Food Dairy product,"salt, oil",743,none
1361,Food Dairy product,"salt, oil",614,none
1362,Food Dairy product,"salt, oil",235,none
1363,Food Dairy product,"salt, oil",772,none
1364,Food Dairy product,"salt, oil",712,none
1365,Food Dairy product,"salt, oil",741,none
1366,Food Dairy product,"salt, oil",309,none
1367,Food Dairy product,"salt, oil",485,none
1368,Food Dairy product,"salt, oil",742,none
1369,Food Dairy product,"salt, oil",221,none
1370,Food Dairy product,"salt, oil",786,none
1371,Food Dairy product,"salt, oil",690,none
1372,Food Dairy product,"salt, oil",647,none
1373,Food Dairy product,"salt, oil",549,none
1374,Food Dairy product,"salt, oil",293,none
1375,Food Dairy product,"salt, oil",416,none
1376,Food Dairy product,"salt, oil",404,none
1377,Food Dairy product,"salt, oil",493,none
1378,Food Dairy product,"salt, oil",714,none
1379,Food Dairy product,"salt, oil",540,none
1380,Food Dairy product,"salt, oil",585,none
1381,Food Dairy product,"salt, oil",451,none
1382,Food Dairy product,"salt, oil",402,none
1383,Food Dairy product,"salt, oil",419,none
1384,Food Dairy product,"salt, oil",217,none
1385,Food Dairy product,"salt, oil",206,none
1386,Food Dairy product,"salt, oil",506,none
1387,Food Dairy product,"salt, oil",295,none
1388,Food Dairy product,"salt, oil",347,none
1389,Food Dairy product,"salt, oil",633,none
1390,Food Dairy product,"salt, oil",231,none
1391,Food Dairy product,"salt, oil",719,none
1392,Food Dairy product,"salt, oil",779,none
1393,Food Dairy product,"salt, oil",370,none
1394,Food Dairy product,"salt, oil",754,none
1395,Food Dairy product,"salt, oil",740,none
1396,Food Dairy product,"salt, oil",351,none
1397,Food Dairy product,"salt, oil",214,none
1398,Food Dairy product,"salt, oil",755,none
1399,Food Dairy product,"salt, oil",426,none
1400,Food Dairy product,"salt, oil",350,none
1401,Food Dairy product,"salt, oil",370,none
1402,Food Dairy product,"salt, oil",373,none
1403,Food Dairy product,"salt, oil",781,none
1404,Food Dairy product,"salt, oil",677,none
1405,Food Dairy product,"salt, oil",732,none
1406,Food Dairy product,"salt, oil",345,none
1407,Food Dairy product,"salt, oil",560,none
1408,Food Dairy product,"salt, oil",581,none
1409,Food Dairy product,"salt, oil",634,none
1410,Food Dairy product,"salt, oil",227,none
1411,Food Dairy product,"salt, oil",323,none
1412,Food Dairy product,"salt, oil",585,none
1413,Food Dairy product,"salt, oil",457,none
1414,Food Dairy product,"salt, oil",222,none
1415,Food Dairy product,"salt, oil",303,none
1416,Food Dairy product,"salt, oil",715,none
1417,Food Dairy product,"salt, oil",437,none
1418,Food Dairy product,"salt, oil",548,none
1419,Food Dairy product,"salt, oil",798,none
1420,Food Dairy product,"salt, oil",467,none
1421,Food Dairy product,"salt, oil",270,none
1422,Food Dairy product,"salt, oil",524,none
1423,Food Dairy product,"salt, oil",701,none
1424,Food Dairy product,"salt, oil",632,none
1425,Food Dairy product,"salt, oil",295,none
1426,Food Dairy product,"salt, oil",700,none
1427,Food Dairy product,"salt, oil",535,none
1428,Food Dairy product,"salt, oil",521,none
1429,Food Dairy product,"salt, oil",629,none
1430,Food Dairy product,"salt, oil",544,none
1431,Food Dairy product,"salt, oil",594,none
1432,Food Dairy product,"salt, oil",391,none
1433,Food Dairy product,"salt, oil",359,none
1434,Food Dairy product,"salt, oil",524,none
1435,Food Dairy product,"salt, oil",303,none
1436,Food Dairy product,"salt, oil",294,none
1437,Food Dairy product,"salt, oil",387,none
1438,Food Dairy product,"salt, oil",450,none
1439,Food Dairy product,"salt, oil",556,none
1440,Food Dairy product,"salt, oil",751,none
1441,Food Dairy product,"salt, oil",543,none
1442,Food Dairy product,"salt, oil",507,none
1443,Food Dairy product,"salt, oil",419,none
1444,Food Dairy product,"salt, oil",507,none
1445,Food Dairy product,"salt, oil",592,none
1446,Food Dairy product,"salt, oil",431,none
1447,Food Dairy product,"salt, oil",540,none
1448,Food Dairy product,"salt, oil",644,none
1449,Food Dairy product,"salt, oil",430,none
1450,Food Dairy product,"salt, oil",744,none
1451,Food Dairy product,"salt, oil",375,none
1452,Food Dairy product,"salt, oil",550,none
1453,Food Dairy product,"salt, oil",567,none
1454,Food Dairy product,"salt, oil",517,none
1455,Food Dairy product,"salt, oil",348,none
1456,Food Dairy product,"salt, oil",498,none
1457,Food Dairy product,"salt, oil",505,none
1458,Food Dairy product,"salt, oil",718,none
1459,Food Dairy product,"salt, oil",721,none
1460,Food Dairy product,"salt, oil",353,none
1461,Food Dairy product,"salt, oil",409,none
1462,Food Dairy product,"salt, oil",512,none
1463,Food Dairy product,"salt, oil",368,none
1464,Food Dairy product,"salt, oil",589,none
1465,Food Dairy product,"salt, oil",655,none
1466,Food Dairy product,"salt, oil",520,none
1467,Food Dairy product,"salt, oil",359,none
1468,Food Dairy product,"salt, oil",738,none
1469,Food Dairy product,"salt, oil",744,none
1470,Food Dairy product,"salt, oil",714,none
1471,Food Dairy product,"salt, oil",466,none
1472,Food Dairy product,"salt, oil",263,none
1473,Food Dairy product,"salt, oil",264,none
1474,Food Dairy product,"salt, oil",491,none
1475,Food Dairy product,"salt, oil",407,none
1476,Food Dairy product,"salt, oil",445,none
1477,Food Dairy product,"salt, oil",217,none
1478,Food Dairy product,"salt, oil",409,none
1479,Food Dairy product,"salt, oil",265,none
1480,Food Dairy product,"salt, oil",775,none
1481,Food Dairy product,"salt, oil",711,none
1482,Food Dairy product,"salt, oil",333,none
1483,Food Dairy product,"salt, oil",343,none
1484,Food Dairy product,"salt, oil",522,none
1485,Food Dairy product,"salt, oil",408,none
1486,Food Dairy product,"salt, oil",367,none
1487,Food Dairy product,"salt, oil",655,none
1488,Food Dairy product,"salt, oil",227,none
1489,Food Dairy product,"salt, oil",668,none
1490,Food Dairy product,"salt, oil",787,none
1491,Food Dairy product,"salt, oil",342,none
1492,Food Dairy product,"salt, oil",318,none
1493,Food Dairy product,"salt, oil",201,none
1494,Food Dairy product,"salt, oil",474,none
1495,Food Dairy product,"salt, oil",462,none
1496,Food Dairy product,"salt, oil",423,none
1497,Food Dairy product,"salt, oil",430,none
1498,Food Dairy product,"salt, oil",395,none
1499,Food Dairy product,"salt, oil",408,none
1500,Food Dairy product,"salt, oil",620,none
1501,Food Dairy product,"salt, oil",774,none
1502,Food Dessert,"salt, oil",685,none
1503,Food Dessert,"salt, oil",599,none
1504,Food Dessert,"salt, oil",729,none
1505,Food Dessert,"salt, oil",646,none
1506,Food Dessert,"salt, oil",479,none
1507,Food Dessert,"salt, oil",476,none
1508,Food Dessert,"salt, oil",610,none
1509,Food Dessert,"salt, oil",261,none
1510,Food Dessert,"salt, oil",380,none
1511,Food Dessert,"salt, oil",410,none
1512,Food Dessert,"salt, oil",577,none
1513,Food Dessert,"salt, oil",452,none
1514,Food Dessert,"salt, oil",743,none
1515,Food Dessert,"salt, oil",492,none
1516,Food Dessert,"salt, oil",407,none
1517,Food Dessert,"salt, oil",381,none
1518,Food Dessert,"salt, oil",755,none
1519,Food Dessert,"salt, oil",421,none
1520,Food Dessert,"salt, oil",602,none
1521,Food Dessert,"salt, oil",693,none
1522,Food Dessert,"salt, oil",232,none
1523,Food Dessert,"salt, oil",309,none
1524,Food Dessert,"salt, oil",783,none
1525,Food Dessert,"salt, oil",522,none
1526,Food Dessert,"salt, oil",416,none
1527,Food Dessert,"salt, oil",311,none
1528,Food Dessert,"salt, oil",246,none
1529,Food Dessert,"salt, oil",463,none
1530,Food Dessert,"salt, oil",614,none
1531,Food Dessert,"salt, oil",295,none
1532,Food Dessert,"salt, oil",743,none
1533,Food Dessert,"salt, oil",419,none
1534,Food Dessert,"salt, oil",404,none
1535,Food Dessert,"salt, oil",331,none
1536,Food Dessert,"salt, oil",374,none
1537,Food Dessert,"salt, oil",580,none
1538,Food Dessert,"salt, oil",386,none
1539,Food Dessert,"salt, oil",744,none
1540,Food Dessert,"salt, oil",649,none
1541,Food Dessert,"salt, oil",391,none
1542,Food Dessert,"salt, oil",757,none
1543,Food Dessert,"salt, oil",305,none
1544,Food Dessert,"salt, oil",264,none
1545,Food Dessert,"salt, oil",446,none
1546,Food Dessert,"salt, oil",339,none
1547,Food Dessert,"salt, oil",669,none
1548,Food Dessert,"salt, oil",612,none
1549,Food Dessert,"salt, oil",641,none
1550,Food Dessert,"salt, oil",248,none
1551,Food Dessert,"salt, oil",200,none
1552,Food Dessert,"salt, oil",579,none
1553,Food Dessert,"salt, oil",408,none
1554,Food Dessert,"salt, oil",359,none
1555,Food Dessert,"salt, oil",338,none
1556,Food Dessert,"salt, oil",580,none
1557,Food Dessert,"salt, oil",538,none
1558,Food Dessert,"salt, oil",351,none
1559,Food Dessert,"salt, oil",591,none
1560,Food Dessert,"salt, oil",484,none
1561,Food Dessert,"salt, oil",728,none
1562,Food Dessert,"salt, oil",800,none
1563,Food Dessert,"salt, oil",668,none
1564,Food Dessert,"salt, oil",550,none
1565,Food Dessert,"salt, oil",706,none
1566,Food Dessert,"salt, oil",297,none
1567,Food Dessert,"salt, oil",753,none
1568,Food Dessert,"salt, oil",519,none
1569,Food Dessert,"salt, oil",654,none
1570,Food Dessert,"salt, oil",679,none
1571,Food Dessert,"salt, oil",728,none
1572,Food Dessert,"salt, oil",593,none
1573,Food Dessert,"salt, oil",766,none
1574,Food Dessert,"salt, oil",493,none
1575,Food Dessert,"salt, oil",611,none
1576,Food Dessert,"salt, oil",490,none
1577,Food Dessert,"salt, oil",495,none
1578,Food Dessert,"salt, oil",678,none
1579,Food Dessert,"salt, oil",518,none
1580,Food Dessert,"salt, oil",255,none
1581,Food Dessert,"salt, oil",261,none
1582,Food Dessert,"salt, oil",434,none
1583,Food Dessert,"salt, oil",405,none
1584,Food Dessert,"salt, oil",447,none
1585,Food Dessert,"salt, oil",357,none
1586,Food Dessert,"salt, oil",285,none
1587,Food Dessert,"salt, oil",240,none
1588,Food Dessert,"salt, oil",283,none
1589,Food Dessert,"salt, oil",509,none
1590,Food Dessert,"salt, oil",596,none
1591,Food Dessert,"salt, oil",771,none
1592,Food Dessert,"salt, oil",333,none
1593,Food Dessert,"salt, oil",231,none
1594,Food Dessert,"salt, oil",426,none
1595,Food Dessert,"salt, oil",615,none
1596,Food Dessert,"salt, oil",435,none
1597,Food Dessert,"salt, oil",571,none
1598,Food Dessert,"salt, oil",286,none
1599,Food Dessert,"salt, oil",789,none
1600,Food Dessert,"salt, oil",251,none
1601,Food Dessert,"salt, oil",488,none
1602,Food Dessert,"salt, oil",464,none
1603,Food Dessert,"salt, oil",354,none
1604,Food Dessert,"salt, oil",402,none
1605,Food Dessert,"salt, oil",679,none
1606,Food Dessert,"salt, oil",539,none
1607,Food Dessert,"salt, oil",241,none
1608,Food Dessert,"salt, oil",208,none
1609,Food Dessert,"salt, oil",753,none
1610,Food Dessert,"salt, oil",208,none
1611,Food Dessert,"salt, oil",306,none
1612,Food Dessert,"salt, oil",260,none
1613,Food Dessert,"salt, oil",294,none
1614,Food Dessert,"salt, oil",532,none
1615,Food Dessert,"salt, oil",487,none
1616,Food Dessert,"salt, oil",645,none
1617,Food Dessert,"salt, oil",246,none
1618,Food Dessert,"salt, oil",295,none
1619,Food Dessert,"salt, oil",569,none
1620,Food Dessert,"salt, oil",696,none
1621,Food Dessert,"salt, oil",418,none
1622,Food Dessert,"salt, oil",561,none
1623,Food Dessert,"salt, oil",260,none
1624,Food Dessert,"salt, oil",770,none
1625,Food Dessert,"salt, oil",242,none
1626,Food Dessert,"salt, oil",565,none
1627,Food Dessert,"salt, oil",420,none
1628,Food Dessert,"salt, oil",781,none
1629,Food Dessert,"salt, oil",731,none
1630,Food Dessert,"salt, oil",589,none
1631,Food Dessert,"salt, oil",252,none
1632,Food Dessert,"salt, oil",644,none
1633,Food Dessert,"salt, oil",492,none
1634,Food Dessert,"salt, oil",733,none
1635,Food Dessert,"salt, oil",344,none
1636,Food Dessert,"salt, oil",223,none
1637,Food Dessert,"salt, oil",685,none
1638,Food Dessert,"salt, oil",305,none
1639,Food Dessert,"salt, oil",228,none
1640,Food Dessert,"salt, oil",305,none
1641,Food Dessert,"salt, oil",664,none
1642,Food Dessert,"salt, oil",246,none
1643,Food Dessert,"salt, oil",354,none
1644,Food Dessert,"salt, oil",310,none
1645,Food Dessert,"salt, oil",335,none
1646,Food Dessert,"salt, oil",480,none
1647,Food Dessert,"salt, oil",609,none
1648,Food Dessert,"salt, oil",511,none
1649,Food Dessert,"salt, oil",632,none
1650,Food Dessert,"salt, oil",431,none
1651,Food Dessert,"salt, oil",247,none
1652,Food Dessert,"salt, oil",770,none
1653,Food Dessert,"salt, oil",561,none
1654,Food Dessert,"salt, oil",608,none
1655,Food Dessert,"salt, oil",478,none
1656,Food Dessert,"salt, oil",477,none
1657,Food Dessert,"salt, oil",307,none
1658,Food Dessert,"salt, oil",747,none
1659,Food Dessert,"salt, oil",675,none
1660,Food Dessert,"salt, oil",250,none
1661,Food Dessert,"salt, oil",349,none
1662,Food Dessert,"salt, oil",306,none
1663,Food Dessert,"salt, oil",362,none
1664,Food Dessert,"salt, oil",793,none
1665,Food Dessert,"salt, oil",410,none
1666,Food Dessert,"salt, oil",567,none
1667,Food Dessert,"salt, oil",487,none
1668,Food Dessert,"salt, oil",555,none
